GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
G29615,SEEDGWAS547,CIMMYTMA-026749,1980-01-01,3,1,86,-26.187748,-59.378135,56.7792546808377
G29616,SEEDGWAS548,CIMMYTMA-026750,1980-01-01,2,12,120,-24.843951,-60.040877,55.3259046907853
G29619,SEEDGWAS1042,CIMMYTMA-026757,,1,11,166,-24.164012,-61.333411,53.9720083849686
G29620,SEEDGWAS4272,CIMMYTMA-026758,,12,10,881,-26.081481,-65.383235,53.0197662937089
G29621,SEEDGWAS2656,CIMMYTMA-026763,,12,10,1089,-26.11666667,-65.01666667,53.2607944979148
G29622,SEEDGWAS4850,CIMMYTMA-026781,,1,11,895,-25.72,-65,52.948317224042
G29622,SEEDGWAS5366,CIMMYTMA-026781,,1,11,895,-25.72,-65,52.948317224042
G29623,SEEDGWAS1043,CIMMYTMA-026869,1972-01-01,7,5,874,16.9,-92.08,3.91615710841356
G29624,SEEDGWAS1044,CIMMYTMA-026873,1972-01-01,7,5,874,16.9,-92.08,3.91615710841356
G29626,SEEDGWAS549,CIMMYTMA-026874,1974-04-09,7,5,34,18.24058,-88.686882,7.36794374482936
G29627,SEEDGWAS4851,CIMMYTMA-026879,1975-01-01,8,6,2162,29.375447,-107.74083,16.9137419512481
G29627,SEEDGWAS4273,CIMMYTMA-026879,1975-01-01,8,6,2162,29.375447,-107.74083,16.9137419512481
G29628,SEEDGWAS4852,CIMMYTMA-026886,1950-01-01,7,5,2030,24.470342,-104.120767,10.9010840337088
G29628,SEEDGWAS3787,CIMMYTMA-026886,1950-01-01,7,5,2030,24.470342,-104.120767,10.9010840337088
G29629,SEEDGWAS3108,CIMMYTMA-026975,1977-01-01,7,5,1973,22.233853,-102.212362,7.99830967401469
G29629,SEEDGWAS5104,CIMMYTMA-026975,1977-01-01,7,5,1973,22.233853,-102.212362,7.99830967401469
G29630,SEEDGWAS5105,CIMMYTMA-026977,1982-01-01,7,5,2162,19.796015,-103.680049,8.1174178954739
G29631,SEEDGWAS4853,CIMMYTMA-026984,1982-01-01,7,5,2228,19.93,-103.7,8.17979984827123
G29632,SEEDGWAS3111,CIMMYTMA-026988,1982-01-01,7,5,2228,19.93,-103.7,8.17979984827123
G29632,SEEDGWAS4854,CIMMYTMA-026988,1982-01-01,7,5,2228,19.93,-103.7,8.17979984827123
G29633,SEEDGWAS4855,CIMMYTMA-026989,1982-01-01,7,5,2228,19.93,-103.7,8.17979984827123
G29634,SEEDGWAS4856,CIMMYTMA-026990,1982-01-01,7,5,2161,19.93333333,-103.7333333,8.21235536241313
G29635,SEEDGWAS3112,CIMMYTMA-026994,1982-01-01,7,5,1356,20.030919,-103.506517,8.03232916515253
G29635,SEEDGWAS5106,CIMMYTMA-026994,1982-01-01,7,5,1356,20.030919,-103.506517,8.03232916515253
