GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
G5877,SEEDGWAS2341,NA,NA,NA,NA,NA,NA,NA,NA
G5877,SEEDGWAS4306,NA,NA,NA,NA,NA,NA,NA,NA
G5880,SEEDGWAS2684,NA,NA,NA,NA,NA,NA,NA,NA
G5880,SEEDGWAS4307,NA,NA,NA,NA,NA,NA,NA,NA
G5881,SEEDGWAS4049,NA,NA,NA,NA,NA,NA,NA,NA
G5884,SEEDGWAS1091,CIMMYTMA-000668,1952-02-02,7,5,1406,25.552339,-100.9672228,9.7119815295401
G5885,SEEDGWAS3816,CIMMYTMA-000672,1952-02-04,10,8,329,28.41666667,-100.7833333,12.1852367842402
G5888,SEEDGWAS4308,NA,NA,NA,NA,NA,NA,NA,NA
G5890,SEEDGWAS36,NA,NA,NA,NA,NA,NA,NA,NA
G5896,SEEDGWAS2686,CIMMYTMA-000678,1944-01-01,7,5,1414,18.75027778,-97.24166667,1.98377560464582
